CloneID	dbEST_ID	GenBank_Accn	CloneName
CA10	20189886	CF810441	phospholipid-hydroperoxide glutathione peroxidase
CA1028	20189865	CF810420	NA
CA1028	20189865	CF810420	NA
CA1028	20189865	CF810420	NA
CA1029	20189866	CF810421	Lipid transferase protein precursor
CA1029	20189866	CF810421	Lipid transferase protein precursor
CA1029	20189866	CF810421	Lipid transferase protein precursor
CA1030	20189868	CF810423	Putative protein( also has hi scores for Frigida protein)
CA1030	20189868	CF810423	Putative protein( also has hi scores for Frigida protein)
CA1030	20189868	CF810423	Putative protein( also has hi scores for Frigida protein)
CA1031	20189869	CF810424	hypothetical protein
CA1031	20189869	CF810424	hypothetical protein
CA1031	20189869	CF810424	hypothetical protein
CA1034	20189871	CF810426	hypothetical protein
CA1034	20189871	CF810426	hypothetical protein
CA1034	20189871	CF810426	hypothetical protein
CA1035	20189872	CF810427	Heat shock protein
CA1035	20189872	CF810427	Heat shock protein
CA1035	20189872	CF810427	Heat shock protein
CA1036	20189873	CF810428	valyl-tRNA synthetase
CA1036	20189873	CF810428	valyl-tRNA synthetase
CA1036	20189873	CF810428	valyl-tRNA synthetase
CA1037	20189874	CF810429	Epsilon adaptin 
CA1037	20189874	CF810429	Epsilon adaptin 
CA1037	20189874	CF810429	Epsilon adaptin 
CA1039	20189876	CF810431	62.8kDa putative protein
CA1039	20189876	CF810431	62.8kDa putative protein
CA104	20189883	CF810438	Proteinase inhibitor
CA104	20189883	CF810438	Proteinase inhibitor
CA104	20189883	CF810438	Proteinase inhibitor
CA104	20189883	CF810438	Proteinase inhibitor
CA104	20189883	CF810438	Proteinase inhibitor
CA104	20189883	CF810438	Proteinase inhibitor
CA1040	20189877	CF810432	ATP dependent Cl[ binding protein (also has HSPs with hi scores)
CA1040	20189877	CF810432	ATP dependent Cl[ binding protein (also has HSPs with hi scores)
CA1040	20189877	CF810432	ATP dependent Cl[ binding protein (also has HSPs with hi scores)
CA1041	20189878	CF810433	Putative protein
CA1041	20189878	CF810433	Putative protein
CA1041	20189878	CF810433	Putative protein
CA1042	20189879	CF810434	Unknown protein
CA1042	20189879	CF810434	Unknown protein
CA1042	20189879	CF810434	Unknown protein
CA1043	20189880	CF810435	Adenine phosphoribosyltransferase
CA1043	20189880	CF810435	Adenine phosphoribosyltransferase
CA1047	25201005	CV090217	ATP-DEPENDENT CLP PROTEASE ATP-BINDING SUBUNIT CLPA HOMOLOG PRECURSOR
CA1047	25201005	CV090217	ATP-DEPENDENT CLP PROTEASE ATP-BINDING SUBUNIT CLPA HOMOLOG PRECURSOR
CA1047	25201005	CV090217	ATP-DEPENDENT CLP PROTEASE ATP-BINDING SUBUNIT CLPA HOMOLOG PRECURSOR
CA1048	25201006	CV090218	scarecrow-like protein 8
CA1048	25201006	CV090218	scarecrow-like protein 8
CA1048	25201006	CV090218	scarecrow-like protein 8
CA1049	25201007	CV090219	similarity to a phosphoglyceromutase 
CA1049	25201007	CV090219	similarity to a phosphoglyceromutase 
CA1049	25201007	CV090219	similarity to a phosphoglyceromutase 
CA1050	25201008	CV090220	LTCOR11
CA1050	25201008	CV090220	LTCOR11
CA1050	25201008	CV090220	LTCOR11
CA1051	25201009	CV090221	myosin I heavy chain kinase
CA1051	25201009	CV090221	myosin I heavy chain kinase
CA1051	25201009	CV090221	myosin I heavy chain kinase
CA1052	25201010	CV090222	phantastica
CA1052	25201010	CV090222	phantastica
CA1052	25201010	CV090222	phantastica
CA1053	25201011	CV090223	myb-related transcription factor
CA1053	25201011	CV090223	myb-related transcription factor
CA1053	25201011	CV090223	myb-related transcription factor
CA1054	25201012	CV090224	cytosolic fructose-1,6-bisphosphatase
CA1054	25201012	CV090224	cytosolic fructose-1,6-bisphosphatase
CA1054	25201012	CV090224	cytosolic fructose-1,6-bisphosphatase
CA1055	25201013	CV090225	zinc finger protein, putative
CA1055	25201013	CV090225	zinc finger protein, putative
CA1055	25201013	CV090225	zinc finger protein, putative
CA1056	25201014	CV090226	putative U5 small nuclear ribonucleoprotein, an RNA helicase
CA1056	25201014	CV090226	putative U5 small nuclear ribonucleoprotein, an RNA helicase
CA1056	25201014	CV090226	putative U5 small nuclear ribonucleoprotein, an RNA helicase
CA1058	25201015	CV090227	lariat-debranching enzyme homolog
CA1059	25201016	CV090228	No similarity
CA1059	25201016	CV090228	No similarity
CA1059	25201016	CV090228	No similarity
CA106	20189884	CF810439	RNA helicase
CA106	20189884	CF810439	RNA helicase
CA106	20189884	CF810439	RNA helicase
CA106	20189884	CF810439	RNA helicase
CA106	20189884	CF810439	RNA helicase
CA106	20189884	CF810439	RNA helicase
CA1060	25201017	CV090229	putative tyrosine phosphatase
CA1060	25201017	CV090229	putative tyrosine phosphatase
CA1060	25201017	CV090229	putative tyrosine phosphatase
CA1061	25201018	CV090230	(S)-2-hydroxy-acid oxidase
CA1061	25201018	CV090230	(S)-2-hydroxy-acid oxidase
CA1061	25201018	CV090230	(S)-2-hydroxy-acid oxidase
CA1063	25201019	CV090231	No similarity
CA1063	25201019	CV090231	No similarity
CA1063	25201019	CV090231	No similarity
CA1064	25201020	CV090232	hypothetical protein F20O9.110
CA1064	25201020	CV090232	hypothetical protein F20O9.110
CA1064	25201020	CV090232	hypothetical protein F20O9.110
CA1066	25201021	CV090233	histone H2B
CA1066	25201021	CV090233	histone H2B
CA1066	25201021	CV090233	histone H2B
CA1067	25201022	CV090234	THREONYL-TRNA SYNTHETASE, MITOCHONDRIAL PRECURSOR
CA1067	25201022	CV090234	THREONYL-TRNA SYNTHETASE, MITOCHONDRIAL PRECURSOR
CA1067	25201022	CV090234	THREONYL-TRNA SYNTHETASE, MITOCHONDRIAL PRECURSOR
CA1068	25201023	CV090235	hypothetical protein F27K19.160
CA1068	25201023	CV090235	hypothetical protein F27K19.160
CA1068	25201023	CV090235	hypothetical protein F27K19.160
CA1069	25201024	CV090236	PROTEASOME SUBUNIT ALPHA TYPE 2
CA1069	25201024	CV090236	PROTEASOME SUBUNIT ALPHA TYPE 2
CA1069	25201024	CV090236	PROTEASOME SUBUNIT ALPHA TYPE 2
CA1070	25201025	CV090237	SCAR1
CA1070	25201025	CV090237	SCAR1
CA1070	25201025	CV090237	SCAR1
CA1071	25201026	CV090238	T7N9.6
CA1071	25201026	CV090238	T7N9.6
CA1071	25201026	CV090238	T7N9.6
CA1072	25201027	CV090239	unspecific monooxygenase
CA1072	25201027	CV090239	unspecific monooxygenase
CA1072	25201027	CV090239	unspecific monooxygenase
CA1073	25201028	CV090240	NA
CA1073	25201028	CV090240	NA
CA1073	25201028	CV090240	NA
CA1074	25201029	CV090241	SINA2 protein [imported] - Vitis vinifera
CA1074	25201029	CV090241	SINA2 protein [imported] - Vitis vinifera
CA1074	25201029	CV090241	SINA2 protein [imported] - Vitis vinifera
CA1075	25201030	CV090242	unknown
CA1075	25201030	CV090242	unknown
CA1075	25201030	CV090242	unknown
CA1076	25201031	CV090243	AP2 domain containing protein
CA1076	25201031	CV090243	AP2 domain containing protein
CA1076	25201031	CV090243	AP2 domain containing protein
CA1077	25201032	CV090244	S-adenosyl-methionine decarboxylase
CA1077	25201032	CV090244	S-adenosyl-methionine decarboxylase
CA1077	25201032	CV090244	S-adenosyl-methionine decarboxylase
CA1078	25201033	CV090245	SCAR1
CA1078	25201033	CV090245	SCAR1
CA1078	25201033	CV090245	SCAR1
CA1079	25201034	CV090246	CAD ATPase
CA1079	25201034	CV090246	CAD ATPase
CA1079	25201034	CV090246	CAD ATPase
CA1080	25201035	CV090247	No similarity
CA1080	25201035	CV090247	No similarity
CA1080	25201035	CV090247	No similarity
CA1081	25201036	CV090248	SKP1-like protein
CA1081	25201036	CV090248	SKP1-like protein
CA1081	25201036	CV090248	SKP1-like protein
CA1082	Not submitted	Not submitted	probable NADPH2:quinone reductase (EC 1.6.5.5) - Escherichia coli
CA1082	Not submitted	Not submitted	probable NADPH2:quinone reductase (EC 1.6.5.5) - Escherichia coli
CA1082	Not submitted	Not submitted	probable NADPH2:quinone reductase (EC 1.6.5.5) - Escherichia coli
CA1083	25201037	CV090249	hypothetical protein F9D16.100
CA1083	25201037	CV090249	hypothetical protein F9D16.100
CA1083	25201037	CV090249	hypothetical protein F9D16.100
CA1084	25201038	CV090250	DNA-directed RNA polymerase I 190K chain homolog F15B8.150
CA1084	25201038	CV090250	DNA-directed RNA polymerase I 190K chain homolog F15B8.150
CA1084	25201038	CV090250	DNA-directed RNA polymerase I 190K chain homolog F15B8.150
CA1086	25201039	CV090251	F21D18.27
CA1086	25201039	CV090251	F21D18.27
CA1086	25201039	CV090251	F21D18.27
CA1087	25201040	CV090252	hypothetical protein F26K10.140
CA1087	25201040	CV090252	hypothetical protein F26K10.140
CA1087	25201040	CV090252	hypothetical protein F26K10.140
CA1089	25201041	CV090253	zinc finger (CCCH-type) family protein [Arabidopsis thaliana]
CA1089	25201041	CV090253	zinc finger (CCCH-type) family protein [Arabidopsis thaliana]
CA1089	25201041	CV090253	zinc finger (CCCH-type) family protein [Arabidopsis thaliana]
CA109	Not submitted	Not submitted	NA
CA109	Not submitted	Not submitted	NA
CA109	Not submitted	Not submitted	NA
CA109	Not submitted	Not submitted	NA
CA109	Not submitted	Not submitted	NA
CA109	Not submitted	Not submitted	NA
CA1090	25201042	CV090254	F-box family protein [Arabidopsis thaliana]
CA1090	25201042	CV090254	F-box family protein [Arabidopsis thaliana]
CA1090	25201042	CV090254	F-box family protein [Arabidopsis thaliana]
CA1091	25201043	CV090255	reticulon family protein [Arabidopsis thaliana]
CA1091	25201043	CV090255	reticulon family protein [Arabidopsis thaliana]
CA1091	25201043	CV090255	reticulon family protein [Arabidopsis thaliana]
CA1092	25201044	CV090256	unknown [Arabidopsis thaliana]
CA1092	25201044	CV090256	unknown [Arabidopsis thaliana]
CA1092	25201044	CV090256	unknown [Arabidopsis thaliana]
CA1093	25201045	CV090257	protein kinase PINOID (PID) [Arabidopsis thaliana]
CA1093	25201045	CV090257	protein kinase PINOID (PID) [Arabidopsis thaliana]
CA1093	25201045	CV090257	protein kinase PINOID (PID) [Arabidopsis thaliana]
CA1094	25201046	CV090258	NA
CA1094	25201046	CV090258	NA
CA1094	25201046	CV090258	NA
CA1095	25201047	CV090259	calcineurin-like phosphoesterase family protein [Arabidopsis
CA1095	25201047	CV090259	calcineurin-like phosphoesterase family protein [Arabidopsis
CA1095	25201047	CV090259	calcineurin-like phosphoesterase family protein [Arabidopsis
CA1096	25201048	CV090260	expressed protein [Arabidopsis thaliana]
CA1096	25201048	CV090260	expressed protein [Arabidopsis thaliana]
CA1096	25201048	CV090260	expressed protein [Arabidopsis thaliana]
CA1097	25201049	CV090261	AT5g17460 [Arabidopsis thaliana]
CA1097	25201049	CV090261	AT5g17460 [Arabidopsis thaliana]
CA1097	25201049	CV090261	AT5g17460 [Arabidopsis thaliana]
CA1098	25201050	CV090262	capsid component [Bacteriophage lambda]
CA1098	25201050	CV090262	capsid component [Bacteriophage lambda]
CA1098	25201050	CV090262	capsid component [Bacteriophage lambda]
CA1099	25201051	CV090263	NA
CA1099	25201051	CV090263	NA
CA1099	25201051	CV090263	NA
CA1100	25201052	CV090264	casein kinase II alpha [Triticum aestivum]
CA1100	25201052	CV090264	casein kinase II alpha [Triticum aestivum]
CA1100	25201052	CV090264	casein kinase II alpha [Triticum aestivum]
CA1102	25201053	CV090265	expressed protein [Arabidopsis thaliana]
CA1102	25201053	CV090265	expressed protein [Arabidopsis thaliana]
CA1102	25201053	CV090265	expressed protein [Arabidopsis thaliana]
CA1103	25201054	CV090266	14-3-3-LIKE PROTEIN B (VFA-1433B)
CA1103	25201054	CV090266	14-3-3-LIKE PROTEIN B (VFA-1433B)
CA1103	25201054	CV090266	14-3-3-LIKE PROTEIN B (VFA-1433B)
CA1104	25201055	CV090267	unnamed protein product [Oryza sativa (japonica cultivar-group)]
CA1104	25201055	CV090267	unnamed protein product [Oryza sativa (japonica cultivar-group)]
CA1104	25201055	CV090267	unnamed protein product [Oryza sativa (japonica cultivar-group)]
CA1105	25201056	CV090268	NA
CA1105	25201056	CV090268	NA
CA1105	25201056	CV090268	NA
CA1106	25201057	CV090269	histone H3.2 [Arabidopsis thaliana]
CA1106	25201057	CV090269	histone H3.2 [Arabidopsis thaliana]
CA1106	25201057	CV090269	histone H3.2 [Arabidopsis thaliana]
CA1107	25201058	CV090270	NA
CA1107	25201058	CV090270	NA
CA1107	25201058	CV090270	NA
CA111	20189887	CF810442	LEA 1P
CA111	20189887	CF810442	LEA 1P
CA111	20189887	CF810442	LEA 1P
CA111	20189887	CF810442	LEA 1P
CA111	20189887	CF810442	LEA 1P
CA111	20189887	CF810442	LEA 1P
CA1110	25201059	CV090271	AP2 domain containing protein [Prunus armeniaca]
CA1110	25201059	CV090271	AP2 domain containing protein [Prunus armeniaca]
CA1110	25201059	CV090271	AP2 domain containing protein [Prunus armeniaca]
CA1111	25201060	CV090272	ATP-dependent clp protease ATP-binding subunit clpA homolog,
CA1111	25201060	CV090272	ATP-dependent clp protease ATP-binding subunit clpA homolog,
CA1112	25201061	CV090273	capsid component [Bacteriophage lambda]
CA1112	25201061	CV090273	capsid component [Bacteriophage lambda]
CA1112	25201061	CV090273	capsid component [Bacteriophage lambda]
CA1113	25201062	CV090274	zinc finger protein, putative [Arabidopsis thaliana]
CA1113	25201062	CV090274	zinc finger protein, putative [Arabidopsis thaliana]
CA1113	25201062	CV090274	zinc finger protein, putative [Arabidopsis thaliana]
CA1114	Not submitted	Not submitted	probable NADPH2:quinone reductase (EC 1.6.5.5) - Escherichia coli
CA1114	Not submitted	Not submitted	probable NADPH2:quinone reductase (EC 1.6.5.5) - Escherichia coli
CA1114	Not submitted	Not submitted	probable NADPH2:quinone reductase (EC 1.6.5.5) - Escherichia coli
CA1116	25201063	CV090275	NA
CA1116	25201063	CV090275	NA
CA1116	25201063	CV090275	NA
CA1117	25201064	CV090276	Der1-like family protein / degradation in the ER-like family
CA1117	25201064	CV090276	Der1-like family protein / degradation in the ER-like family
CA1117	25201064	CV090276	Der1-like family protein / degradation in the ER-like family
CA1118	25201065	CV090277	scarecrow-like transcription factor 8 (SCL8) [Arabidopsis thaliana]
CA1118	25201065	CV090277	scarecrow-like transcription factor 8 (SCL8) [Arabidopsis thaliana]
CA1118	25201065	CV090277	scarecrow-like transcription factor 8 (SCL8) [Arabidopsis thaliana]
CA1119	25201066	CV090278	hypothetical protein [Nicotiana tabacum]
CA1119	25201066	CV090278	hypothetical protein [Nicotiana tabacum]
CA1119	25201066	CV090278	hypothetical protein [Nicotiana tabacum]
CA112	20189888	CF810443	Unknown protein
CA112	20189888	CF810443	Unknown protein
CA112	20189888	CF810443	Unknown protein
CA112	20189888	CF810443	Unknown protein
CA112	20189888	CF810443	Unknown protein
CA112	20189888	CF810443	Unknown protein
CA1120	25201067	CV090279	myb family transcription factor [Arabidopsis thaliana]
CA1120	25201067	CV090279	myb family transcription factor [Arabidopsis thaliana]
CA1120	25201067	CV090279	myb family transcription factor [Arabidopsis thaliana]
CA1121	25201068	CV090280	expressed protein [Arabidopsis thaliana]
CA1121	25201068	CV090280	expressed protein [Arabidopsis thaliana]
CA1121	25201068	CV090280	expressed protein [Arabidopsis thaliana]
CA1122	25201069	CV090281	NA
CA1122	25201069	CV090281	NA
CA1122	25201069	CV090281	NA
CA1123	25201070	CV090282	ATP-dependent clp protease ATP-binding subunit clpA homolog,
CA1123	25201070	CV090282	ATP-dependent clp protease ATP-binding subunit clpA homolog,
CA1123	25201070	CV090282	ATP-dependent clp protease ATP-binding subunit clpA homolog,
CA1124	25201071	CV090283	katanin [Gossypium hirsutum]
CA1124	25201071	CV090283	katanin [Gossypium hirsutum]
CA1124	25201071	CV090283	katanin [Gossypium hirsutum]
CA1125	25201072	CV090284	LEC14B protein
CA1125	25201072	CV090284	LEC14B protein
CA1125	25201072	CV090284	LEC14B protein
CA1128	25201073	CV090285	unknown [environmental sequence]
CA1128	25201073	CV090285	unknown [environmental sequence]
CA1128	25201073	CV090285	unknown [environmental sequence]
CA1129	25201074	CV090286	NA
CA1129	25201074	CV090286	NA
CA1129	25201074	CV090286	NA
CA1130	25201075	CV090287	membrane bound O-acyl transferase (MBOAT) family protein
CA1130	25201075	CV090287	membrane bound O-acyl transferase (MBOAT) family protein
CA1130	25201075	CV090287	membrane bound O-acyl transferase (MBOAT) family protein
CA1131	25201076	CV090288	membrane bound O-acyl transferase (MBOAT) family protein
CA1131	25201076	CV090288	membrane bound O-acyl transferase (MBOAT) family protein
CA1132	25201077	CV090289	OSJNBb0011N17.2 [Oryza sativa (japonica cultivar-group)]
CA1132	25201077	CV090289	OSJNBb0011N17.2 [Oryza sativa (japonica cultivar-group)]
CA1132	25201077	CV090289	OSJNBb0011N17.2 [Oryza sativa (japonica cultivar-group)]
CA1133	25201078	CV090290	dehydrin 1 [Vaccinium corymbosum]
CA1133	25201078	CV090290	dehydrin 1 [Vaccinium corymbosum]
CA1133	25201078	CV090290	dehydrin 1 [Vaccinium corymbosum]
CA1134	25201079	CV090291	3-hydroxy-3-methylglutaryl coenzyme a reductase [Camptotheca
CA1134	25201079	CV090291	3-hydroxy-3-methylglutaryl coenzyme a reductase [Camptotheca
CA1134	25201079	CV090291	3-hydroxy-3-methylglutaryl coenzyme a reductase [Camptotheca
CA1135	25201080	CV090292	putative pM5 collagenase [Oryza sativa (japonica cultivar-group)]
CA1135	25201080	CV090292	putative pM5 collagenase [Oryza sativa (japonica cultivar-group)]
CA1135	25201080	CV090292	putative pM5 collagenase [Oryza sativa (japonica cultivar-group)]
CA1136	25201081	CV090293	unknown [Arabidopsis thaliana]
CA1136	25201081	CV090293	unknown [Arabidopsis thaliana]
CA1136	25201081	CV090293	unknown [Arabidopsis thaliana]
CA1137	25201082	CV090294	allyl alcohol dehydrogenase [Nicotiana tabacum]
CA1137	25201082	CV090294	allyl alcohol dehydrogenase [Nicotiana tabacum]
CA1137	25201082	CV090294	allyl alcohol dehydrogenase [Nicotiana tabacum]
CA1138	25201083	CV090295	tubulin beta-2/beta-3 chain (TUB2) [Arabidopsis thaliana]
CA1138	25201083	CV090295	tubulin beta-2/beta-3 chain (TUB2) [Arabidopsis thaliana]
CA1140	25201084	CV090296	NA
CA1140	25201084	CV090296	NA
CA1140	25201084	CV090296	NA
CA1141	25201085	CV090297	reticulon family protein [Arabidopsis thaliana]
CA1141	25201085	CV090297	reticulon family protein [Arabidopsis thaliana]
CA1141	25201085	CV090297	reticulon family protein [Arabidopsis thaliana]
CA1142	25201086	CV090298	bile acid:sodium symporter family protein [Arabidopsis thaliana]
CA1142	25201086	CV090298	bile acid:sodium symporter family protein [Arabidopsis thaliana]
CA1142	25201086	CV090298	bile acid:sodium symporter family protein [Arabidopsis thaliana]
CA1143	25201087	CV090299	Putative UPF0183 protein [Arabidopsis thaliana]
CA1143	25201087	CV090299	Putative UPF0183 protein [Arabidopsis thaliana]
CA1144	25201088	CV090300	cofactor-independent phosphoglyceromutase [Apium graveolens]
CA1144	25201088	CV090300	cofactor-independent phosphoglyceromutase [Apium graveolens]
CA1144	25201088	CV090300	cofactor-independent phosphoglyceromutase [Apium graveolens]
CA1145	25201089	CV090301	acetyl-CoA C-acyltransferase (EC 2.3.1.16) B precursor, peroxisomal
CA1145	25201089	CV090301	acetyl-CoA C-acyltransferase (EC 2.3.1.16) B precursor, peroxisomal
CA1145	25201089	CV090301	acetyl-CoA C-acyltransferase (EC 2.3.1.16) B precursor, peroxisomal
CA1146	25201090	CV090302	NA
CA1146	25201090	CV090302	NA
CA1146	25201090	CV090302	NA
CA1148	25201091	CV090303	expressed protein [Arabidopsis thaliana]
CA1148	25201091	CV090303	expressed protein [Arabidopsis thaliana]
CA1148	25201091	CV090303	expressed protein [Arabidopsis thaliana]
CA1149	25201092	CV090304	unknown  [Arabidopsis thaliana]
CA1149	25201092	CV090304	unknown  [Arabidopsis thaliana]
CA1149	25201092	CV090304	unknown  [Arabidopsis thaliana]
CA1150	25201093	CV090305	expressed protein [Arabidopsis thaliana]
CA1150	25201093	CV090305	expressed protein [Arabidopsis thaliana]
CA1150	25201093	CV090305	expressed protein [Arabidopsis thaliana]
CA1151	25201094	CV090306	NA
CA1151	25201094	CV090306	NA
CA1151	25201094	CV090306	NA
CA1153	25201095	CV090307	NA
CA1153	25201095	CV090307	NA
CA1153	25201095	CV090307	NA
CA1154	25201096	CV090308	20S proteasome alpha subunit B (PAB1) (PRC3) [Arabidopsis thaliana]
CA1154	25201096	CV090308	20S proteasome alpha subunit B (PAB1) (PRC3) [Arabidopsis thaliana]
CA1154	25201096	CV090308	20S proteasome alpha subunit B (PAB1) (PRC3) [Arabidopsis thaliana]
CA1155	25201097	CV090309	hypothetical protein [Arabidopsis thaliana]
CA1155	25201097	CV090309	hypothetical protein [Arabidopsis thaliana]
CA1155	25201097	CV090309	hypothetical protein [Arabidopsis thaliana]
CA1156	25201098	CV090310	cofactor-independent phosphoglyceromutase [Apium graveolens]
CA1156	25201098	CV090310	cofactor-independent phosphoglyceromutase [Apium graveolens]
CA1156	25201098	CV090310	cofactor-independent phosphoglyceromutase [Apium graveolens]
CA1157	25201099	CV090311	OSJNBa0008A08.7 [Oryza sativa (japonica cultivar-group)]
CA1157	25201099	CV090311	OSJNBa0008A08.7 [Oryza sativa (japonica cultivar-group)]
CA1157	25201099	CV090311	OSJNBa0008A08.7 [Oryza sativa (japonica cultivar-group)]
CA1159	25201100	CV090312	casein kinase II alpha [Triticum aestivum]
CA1159	25201100	CV090312	casein kinase II alpha [Triticum aestivum]
CA1159	25201100	CV090312	casein kinase II alpha [Triticum aestivum]
CA1160	25201101	CV090313	Calreticulin precursor
CA1160	25201101	CV090313	Calreticulin precursor
CA1160	25201101	CV090313	Calreticulin precursor
CA1162	25201102	CV090314	expressed protein [Arabidopsis thaliana]
CA1162	25201102	CV090314	expressed protein [Arabidopsis thaliana]
CA1162	25201102	CV090314	expressed protein [Arabidopsis thaliana]
CA1163	25201103	CV090315	senescence-associated protein [Arabidopsis thaliana]
CA1163	25201103	CV090315	senescence-associated protein [Arabidopsis thaliana]
CA1163	25201103	CV090315	senescence-associated protein [Arabidopsis thaliana]
CA1164	25201104	CV090316	no hits
CA1164	25201104	CV090316	no hits
CA1164	25201104	CV090316	no hits
CA1165	25201105	CV090317	METALLOTHIONEIN-LIKE PROTEIN TYPE 3 [Carica papaya]
CA1165	25201105	CV090317	METALLOTHIONEIN-LIKE PROTEIN TYPE 3 [Carica papaya]
CA1165	25201105	CV090317	METALLOTHIONEIN-LIKE PROTEIN TYPE 3 [Carica papaya]
CA1166	25201106	CV090318	no similarity
CA1166	25201106	CV090318	no similarity
CA1166	25201106	CV090318	no similarity
CA1168	25201107	CV090319	3-phosphoinositide-dependent protein kinase-1, putative
CA1168	25201107	CV090319	3-phosphoinositide-dependent protein kinase-1, putative
CA1168	25201107	CV090319	3-phosphoinositide-dependent protein kinase-1, putative
CA1169	25201108	CV090320	NA
CA1169	25201108	CV090320	NA
CA1169	25201108	CV090320	NA
CA117	20189891	CF810446	Unknown protein
CA117	20189891	CF810446	Unknown protein
CA117	20189891	CF810446	Unknown protein
CA117	20189891	CF810446	Unknown protein
CA117	20189891	CF810446	Unknown protein
CA117	20189891	CF810446	Unknown protein
CA1170	25201109	CV090321	endomembrane protein 70, putative [Arabidopsis thaliana]
CA1170	25201109	CV090321	endomembrane protein 70, putative [Arabidopsis thaliana]
CA1170	25201109	CV090321	endomembrane protein 70, putative [Arabidopsis thaliana]
CA1171	25201110	CV090322	cysteine proteinase (EC 3.4.22.-) 1 precursor - kidney bean
CA1171	25201110	CV090322	cysteine proteinase (EC 3.4.22.-) 1 precursor - kidney bean
CA1171	25201110	CV090322	cysteine proteinase (EC 3.4.22.-) 1 precursor - kidney bean
CA1172	25201111	CV090323	glycoside hydrolase family 28 protein / polygalacturonase
CA1172	25201111	CV090323	glycoside hydrolase family 28 protein / polygalacturonase
CA1172	25201111	CV090323	glycoside hydrolase family 28 protein / polygalacturonase
CA1173	25201112	CV090324	unknown protein (Arabidopsis thaliana)
CA1173	25201112	CV090324	unknown protein (Arabidopsis thaliana)
CA1173	25201112	CV090324	unknown protein (Arabidopsis thaliana)
CA1174	Not submitted	Not submitted	NA
CA1174	Not submitted	Not submitted	NA
CA1174	Not submitted	Not submitted	NA
CA1175	25201113	CV090325	cytoskeletal protein homolog [Arabidopsis thaliana]
CA1175	25201113	CV090325	cytoskeletal protein homolog [Arabidopsis thaliana]
CA1175	25201113	CV090325	cytoskeletal protein homolog [Arabidopsis thaliana]
CA1177	25201114	CV090326	translation initiation factor eIF-4 gamma homolog F27H5.30
CA1177	25201114	CV090326	translation initiation factor eIF-4 gamma homolog F27H5.30
CA1177	25201114	CV090326	translation initiation factor eIF-4 gamma homolog F27H5.30
CA1178	25201115	CV090327	20S proteasome alpha subunit B (PAB1) (PRC3) [Arabidopsis thaliana]
CA1178	25201115	CV090327	20S proteasome alpha subunit B (PAB1) (PRC3) [Arabidopsis thaliana]
CA1178	25201115	CV090327	20S proteasome alpha subunit B (PAB1) (PRC3) [Arabidopsis thaliana]
CA1179	25201116	CV090328	unknown [environmental sequence]
CA1179	25201116	CV090328	unknown [environmental sequence]
CA1179	25201116	CV090328	unknown [environmental sequence]
CA118	20189892	CF810447	Expressed protein
CA118	20189892	CF810447	Expressed protein
CA118	20189892	CF810447	Expressed protein
CA1180	25201117	CV090329	Zwille protein [imported] - Arabidopsis thaliana
CA1180	25201117	CV090329	Zwille protein [imported] - Arabidopsis thaliana
CA1180	25201117	CV090329	Zwille protein [imported] - Arabidopsis thaliana
CA1181	25201118	CV090330	protein kinase, putative [Arabidopsis thaliana]
CA1181	25201118	CV090330	protein kinase, putative [Arabidopsis thaliana]
CA1181	25201118	CV090330	protein kinase, putative [Arabidopsis thaliana]
