gene_id,gi,genbank_locus_tag,gene_start,gene_stop,definition
SMu0089,24378621,SMU.100,101780,102271,sorbose PTS system, IIB component
SMu0090,24378622,SMU.101,102284,103081,sorbose PTS system, IIC component
SMu0091,24378623,SMU.102,103071,103892,PTS system, IID component
SMu0092,24378624,SMU.103,103889,104305,PTS system, IIA component
SMu0093,24378625,SMU.104,104305,106500,glycosyl hydrolase, alpha-glucosidase
SMu0094,24378626,SMU.105,106501,107499,SCR operon transcriptional repressor
SMu0095,24378627,SMU.106c,107970,107734,transposase fragment
SMu0096,24378628,SMU.107,109108,109278,hypothetical protein
SMu0097,24378629,SMU.108,109280,109417,hypothetical protein
SMu0098,24378630,SMU.109,109582,110682,lantibiotic related antibiotic efflux protein/macrolide permease
SMu0099,NULL,SMU.110c,111684,110824,transcriptional regulator
SMu0100,24378632,SMU.112c,112694,111945,transcriptional regulator, RpiR family
SMu0101,24378633,SMU.113,112823,113755,fructose-1-phosphate kinase
SMu0102,24378634,SMU.114,113760,115160,PTS system, fructose-specific IIBC component
SMu0103,24378635,SMU.115,115175,115627,PTS system, fructose-specific IIA component
SMu0104,24378636,SMU.116,115645,116634,tagatose 1,6-aldolase
SMu0105,24378637,SMU.117c,118090,116735,conserved hypothetical protein
SMu0106,24378638,SMU.118c,119547,118705,esterase
SMu0107,NULL,SMU.119c,120676,119558,alcohol dehydrogenase class III
SMu0108,24378640,SMU.120,121103,121291,50S ribosomal protein L28
SMu0109,NULL,SMU.121c,122672,121344,MATE efflux family , DinF
SMu0110,24378642,SMU.123,122905,127302,DNA polymerase III, alpha subunit
SMu0111,24378643,SMU.124,127505,127954,transcriptional regulator, MarR family
SMu0112,24378644,SMU.125,128033,128587,conserved hypothetical protein
SMu0113,24378645,SMU.127,128963,129958,acetoin dehydrogenase (TPP-dependent) E1 component alpha subunit
SMu0114,24378646,SMU.128,130090,131103,acetoin dehydrogenase (TPP-dependent) E1 component beta subunit
SMu0115,24378647,SMU.129,131203,132570,dihydrolipoamide S-acetyltransferase
SMu0116,24378648,SMU.130,132644,134389,dihydrolipoamide dehydrogenase
SMu0117,24378649,SMU.131,134495,135484,lipoate-protein ligase
SMu0118,24378650,SMU.132,135749,136885,amino acid amidohydrolase (hippurate amidohydrolase)
SMu0119,24378651,SMU.133c,138402,137008,carbohydrate permease; transmembrane efflux protein
SMu0120,24378652,SMU.134,138553,139206,transcriptional regulator, TetR/AcrR family
SMu0121,NULL,SMU.135c,140364,139471,transcriptional regulator, MleR-related / LysR-related
SMu0122,24378654,SMU.136c,140907,140554,conserved hypothetical protein; probable transcriptional regulator
SMu0123,24378655,SMU.137,141022,142644,malolactic enzyme
SMu0124,24378656,SMU.138,142800,143744,malate permease/auxin efflux carrier
SMu0125,24378657,SMU.139,143865,145049,oxalate decarboxylase
SMu0126,24378658,SMU.140,145133,146428,glutathione reductase
SMu0127,24378659,SMU.141,146430,147131,conserved hypothetical protein
SMu0128,24378660,SMU.143c,147909,147295,polypeptide deformylase (PDF)
SMu0129,24378661,SMU.144c,148631,147984,possible transcriptional regulator
SMu0130,24378662,SMU.145,148736,149920,major facilitator superfamily transporter, efflux protein
SMu0131,24378663,SMU.148,150120,152789,alcohol-acetaldehyde dehydrogenase
SMu0132,24378664,SMU.149,152999,153301,transposase fragment (IS605/IS200-like)
SMu0133,24378665,SMU.150,153813,154016,non-lantibiotic mutacin IV A
SMu0134,24378666,SMU.151,154025,154261,non-lantibiotic mutacin IV B
SMu0135,24378667,SMU.152,154456,154875,hypothetical protein
SMu0136,24378668,SMU.153,155368,155469,hypothetical protein
SMu0137,24378669,SMU.154,156212,156481,30S ribosomal protein S15
SMu0138,24378670,SMU.155,157228,159420,polyribonucleotide nucleotidyltransferase alpha subunit (PNPase)
SMu0139,24378671,SMU.156,159410,160150,conserved hypothetical protein
SMu0140,24378672,SMU.157,160110,160778,serine O-acetyltransferase
SMu0141,24378673,SMU.158,160852,162195,cysteinyl-tRNA synthetase
SMu0142,24378674,SMU.159,162188,162607,conserved hypothetical protein
SMu0143,24378675,SMU.160,162786,163691,conserved hypothetical protein
SMu0144,24378676,SMU.161,163670,164407,transcriptional regulator (MerR family?)
SMu0145,24378677,SMU.162c,165435,164443,conserved hypothetical protein
SMu0146,24378678,SMU.163c,166178,165624,hypothetical protein
SMu0147,24378679,SMU.164,166491,167237,tRNA/rRNA methyltransferase
SMu0148,24378680,SMU.165,167261,168121,fatty acid-binding protein, DegV family
SMu0149,24378681,SMU.166,168253,168768,hypothetical protein
SMu0150,24378682,SMU.167,168768,169214,hypothetical protein
SMu0151,24378683,SMU.168,169211,169405,transcriptional regulator
SMu0152,24378684,SMU.169,169798,170244,50S ribosomal protein L13
SMu0153,24378685,SMU.170,170269,170661,30S ribosomal protein S9
SMu0154,24378686,SMU.172,170983,171228,conserved hypothetical protein (possible cell growth regulatory protein)
SMu0155,24378687,SMU.173,171222,171554,conserved hypothetical protein (possible ppGpp-regulated growth inhibitor)
SMu0156,24378688,SMU.174c,172543,171752,conserved hypothetical protein
SMu0157,24378689,SMU.175,172710,172838,hypothetical protein
SMu0158,24378690,SMU.176,172926,173081,hypothetical protein
SMu0159,24378691,SMU.177,173245,174465,PTS cellobiose-specific IIC component)
SMu0160,24378692,SMU.178,174443,175291,conserved hypothetical protein
SMu0161,24378693,SMU.179,175433,176035,conserved hypothetical protein (possible oxidoreductase)
SMu0162,24378694,SMU.180,176037,178448,oxidoreductase, possible fumarate reductase
SMu0163,24378695,SMU.181,178654,179652,mevalonate kinase
SMu0164,24378696,SMU.182,179874,180596,ABC transporter, ATP-binding protein, iron and/or manganese
SMu0165,24378697,SMU.183,180593,181432,manganese ABC transporter permease element
SMu0166,24378698,SMU.184,181479,182399,ABC transporter element, iron predicted binding protein
SMu0167,24378699,SMU.185,182383,182520,hypothetical protein
SMu0168,24378700,SMU.186,182584,183237,metal-dependent transcriptional regulator (probable DtxR homolog)
SMu0169,24378701,SMU.187c,184394,183417,probable tRNA-dihydrouridine synthase
SMu0170,24378702,SMU.188c,185313,184381,Hsp33-like chaperonin
SMu0171,24378703,SMU.189,185427,185633,hypothetical protein
SMu0172,24378704,SMU.191c,193192,192029,phage-related integrase
SMu0173,24378705,SMU.193c,193384,193199,conserved hypothetical protein
SMu0174,24378706,SMU.194c,193639,193388,conserved hypothetical protein, phage-related
SMu0175,24378707,SMU.195c,193935,193675,hypothetical protein
SMu0176,24378708,SMU.196c,195050,193953,immunogenic secreted protein (transfer protein)
SMu0177,24378709,SMU.197c,197498,195072,hypothetical protein
SMu0178,24378710,SMU.198c,200041,197498,conjugative transposon protein
SMu0179,24378711,SMU.199c,200441,200061,hypothetical protein
SMu0180,24378712,SMU.200c,200697,200470,hypothetical protein
SMu0181,24378713,SMU.201c,201690,200710,conserved hypothetical protein
SMu0182,24378714,SMU.202c,202179,201706,conserved hypothetical protein/Streptococcus-specific protein
SMu0183,24378715,SMU.204c,202430,202302,hypothetical protein
SMu0184,24378716,SMU.205c,202765,202493,conserved hypothetical protein
SMu0185,24378717,SMU.206c,203269,202868,hypothetical protein
SMu0186,24378718,SMU.207c,204464,203232,transcriptional regulator
SMu0187,24378719,SMU.208c,206423,204699,conserved hypothetical protein, FtsK/SpoIIIE family
SMu0188,24378720,SMU.209c,206864,206439,hypothetical protein
SMu0189,24378721,SMU.210c,207199,206888,hypothetical protein
SMu0190,24378722,SMU.211c,207862,207419,hypothetical protein
SMu0191,24378723,SMU.212c,208113,207865,hypothetical protein
SMu0192,24378724,SMU.213c,208327,208136,hypothetical protein
SMu0193,24378725,SMU.214c,208663,208355,hypothetical protein
SMu0194,24378726,SMU.215c,208872,208672,hypothetical protein
SMu0195,24378727,SMU.216c,209266,208952,hypothetical protein
SMu0196,24378728,SMU.217c,209913,209386,conserved hypothetical protein; Streptococcus-specific protein
SMu0197,24378729,SMU.218,210660,211013,transcriptional regulator
SMu0198,24378730,SMU.219,211020,211451,hypothetical protein
SMu0199,24378731,SMU.220c,212222,211770,hypothetical protein
SMu0200,24378732,SMU.221c,213113,212568,phage-related integrase, truncated
SMu0201,24378733,SMU.222c,213704,213510,hypothetical protein (possible integrase fragment)
SMu0202,24378734,SMU.223c,213856,213755,hypothetical protein
SMu0203,24378735,SMU.224c,214355,213906,hypothetical protein
SMu0204,24378736,SMU.225c,214449,214336,hypothetical protein
SMu0205,24378737,SMU.226c,215092,214544,transposase, IS1216, also reported on plasmid, truncated
SMu0206,24378738,SMU.227c,216404,215841,conserved hypothetical protein
SMu0207,24378739,SMU.228,216789,217154,alkaline-shock protein homolog
SMu0208,24378740,SMU.229,217154,218821,conserved hypothetical protein (possible kinase)
SMu0209,24378741,SMU.231,218987,220690,acetolactate synthase, large subunit (AHAS)
SMu0210,24378742,SMU.232,220683,221165,acetolactate synthase, small subunit
SMu0211,24378743,SMU.233,221232,222254,ketol-acid reductoisomerase
SMu0212,24378744,SMU.234,222495,223745,threonine dehydratase
SMu0213,24378745,SMU.235,223800,224687,conserved hypothetical protein, SPFH domain/band 7 family
SMu0214,24378746,SMU.236c,225451,224810,transcriptional regulator
SMu0215,24378747,SMU.237c,226700,225477,ABC transporter multidrug permease protein
SMu0216,24378748,SMU.238c,227416,226697,ABC transporter, ATP-binding protein
SMu0217,24378749,SMU.239c,228202,227612,conserved hypothetical protein
SMu0218,24378750,SMU.241c,229245,228505,amino acid ABC transporter, ATP-binding protein
SMu0219,24378751,SMU.242c,230798,229245,glutamine ABC transporter, solute binding protein
SMu0220,24378752,SMU.243,231574,232851,conserved hypothetical protein
SMu0221,24378753,SMU.244,232909,233754,undecaprenyl-diphosphatase; bacitracin resistance protein
SMu0222,24378754,SMU.245,233844,234566,negative regulator of genetic competence
SMu0223,24378755,SMU.246,234572,235732,polysaccharide biosynthesis protein, glycosyl transferase family 4
SMu0224,24378756,SMU.247,235806,236576,ABC transporter, ATP-binding protein
SMu0225,24378757,SMU.248,236614,237876,ABC transporter permease
SMu0226,24378758,SMU.249,237881,239110,class-V aminotransferase, NifS protein homolog,
SMu0227,24378759,SMU.250,239097,239531,nitrogen fixation-like protein, NifU
SMu0228,24378760,SMU.251,239552,240967,ABC transporter permease
SMu0229,24378761,SMU.252,241259,242032,hypothetical protein
SMu0230,NULL,SMU.253c,243534,242290,D-alanyl-D-alanine carboxypeptidase; penicillin-binding protein
SMu0231,24378763,SMU.255,243822,245471,oligopeptide ABC transporter, OppA
SMu0232,24378764,SMU.256,245577,246491,oligopeptide ABC transporter, permease
SMu0233,24378765,SMU.257,246502,247533,oligopeptide ABC transporter, permease
SMu0234,24378766,SMU.258,247543,248595,oligopeptide ABC transporter, ATP-binding
SMu0235,24378767,SMU.259,248588,249514,oligopeptide ABC transporter, ATP-binding
SMu0236,24378768,SMU.260,250170,250772,conserved hypothetical protein
SMu0237,24378769,SMU.261c,251945,250989,transcriptional regulator
SMu0238,24378770,SMU.262,252184,253203,ornithine carbamoyltransferase
SMu0239,24378771,SMU.263,253301,254659,amino acid permease /putrescine antiporter
SMu0240,24378772,SMU.264,254669,255778,agmatine deiminase
SMu0241,24378773,SMU.265,255810,256760,carbamate kinase
SMu0242,24378774,SMU.267c,259536,257272,glutamate--cysteine ligase (gamma ECS)
SMu0243,24378775,SMU.268,259734,261023,adenylosuccinate synthetase
SMu0244,24378776,SMU.270,261355,262812,ribulose monophosphate PTS pathway enzyme IIC
SMu0245,24378777,SMU.271,262880,263161,PTS system, enzyme IIB component
SMu0246,24378778,SMU.272,263227,263712,PTS system, enzyme IIA component
SMu0247,24378779,SMU.273,263751,264416,hexulose-6-phosphate synthase
SMu0248,24378780,SMU.274,264422,265285,hexulose-6-phosphate isomerase
SMu0249,24378781,SMU.275,265288,265998,L-ribulose 5-phosphate 4-epimerase
SMu0250,24378782,SMU.276c,266341,266180,hypothetical protein
SMu0251,24378783,SMU.277,266412,266663,hypothetical protein
SMu0252,24378784,SMU.278,266907,267038,hypothetical protein
SMu0253,24378785,SMU.279,267523,267732,hypothetical protein
SMu0254,24378786,SMU.281,267970,268248,hypothetical protein
SMu0255,24378787,SMU.283,269323,269541,hypothetical protein
SMu0256,24378788,SMU.284,269566,269973,hypothetical protein
SMu0257,24378789,SMU.285,270023,270199,hypothetical protein
SMu0258,24378790,SMU.286,270628,272910,competence factor transporting ATP-binding/permease protein
SMu0259,24378791,SMU.287,272924,273826,ABC transport protein ComB, accessory factor for ComA
SMu0260,24378792,SMU.289,274183,275850,transcriptional antiterminator
SMu0261,24378793,SMU.290,276429,277520,conserved hypothetical protein
SMu0262,24378794,SMU.291,277894,279870,transketolase
SMu0263,24378795,SMU.292,280397,281398,transcriptional regulator, probable AraC family
SMu0264,24378796,SMU.293,281529,282041,hypothetical protein
SMu0265,24378797,SMU.294,282083,282568,conserved hypothetical protein
SMu0266,24378798,SMU.295,282568,282951,hypothetical protein
SMu0267,24378799,SMU.296,282969,283943,conserved hypothetical protein
SMu0268,24378800,SMU.297,284102,286738,DNA polymerase I
SMu0269,24378801,SMU.298,286831,287259,conserved hypothetical protein
SMu0270,24378802,SMU.299c,287670,287452,bacteriocin peptide precursor
SMu0271,24378803,SMU.300,288082,289224,tRNA-guanine transglycosylase; queuine tRNA-ribosyltransferase
SMu0272,24378804,SMU.301,289224,289787,conserved hypothetical protein
SMu0273,24378805,SMU.302,290214,291227,conserved hypothetical protein
SMu0274,24378806,SMU.303,291304,292080,conserved hypothetical protein
SMu0275,24378807,SMU.304,292080,292550,cytidine/ deoxycytidylate deaminase
SMu0276,24378808,SMU.305,292547,293110,conserved hypothetical protein
SMu0277,24378809,SMU.307,293667,295016,glucose-6-phosphate isomerase
SMu0278,24378810,SMU.308,295182,295982,sorbitol-6-phosphate 2-dehydrogenase
SMu0279,24378811,SMU.309,296004,297869,regulator of sorbitol operon
SMu0280,24378812,SMU.310,297869,298357,sorbitol operon activator
SMu0281,24378813,SMU.311,298437,298979,PTS system, sorbitol (glucitol) phosphotransferase enzyme IIC2
SMu0282,24378814,SMU.312,299070,300080,PTS system, sorbitol phosphotransferase enzyme IIBC
SMu0283,24378815,SMU.313,300122,300487,PTS system, sorbitol-specific enzyme IIA
SMu0284,24378816,SMU.314,300738,300899,hypothetical protein
SMu0285,24378817,SMU.317,301122,301820,tetrahydrodipicolinate succinylase
SMu0286,24378818,SMU.318,302577,303707,peptidase/aminoacylase/hippurate hydrolase
SMu0287,24378819,SMU.320,304041,304577,probable 5-formyltetrahydrofolate cyclo-ligase
SMu0288,24378820,SMU.321,304564,305235,conserved hypothetical protein, Rhomboid family
SMu0289,24378821,SMU.322c,306177,305257,glucose-1-phosphate uridylyltransferase
SMu0290,NULL,SMU.323c,307198,306179,glycerol-3-phosphate dehydrogenase (NAD(P)+)
SMu0291,24378823,SMU.325,307519,307965,dUTP diphosphatase (dUTPase)
SMu0292,24378824,SMU.326,307975,308445,conserved hypothetical protein
SMu0293,24378825,SMU.327,308403,309803,DNA repair protein
SMu0294,24378826,SMU.328,309887,310387,conserved hypothetical protein; possible carbonic anhydrase
SMu0295,24378827,SMU.329,310576,311289,conserved hypothetical protein
SMu0296,24378828,SMU.330,311576,313033,glutamyl-tRNA synthetase
SMu0297,24378829,SMU.331,313149,313673,transcriptional regulator
SMu0298,24378830,SMU.332,313740,314288,conserved hypothetical protein
SMu0299,24378831,SMU.333,314437,315672,conserved hypothetical protein
SMu0300,24378832,SMU.334,315869,317059,argininosuccinate synthase
SMu0301,24378833,SMU.335,317402,318784,argininosuccinate lyase
SMu0302,24378834,SMU.336,318879,319238,ribonuclease P protein component
SMu0303,24378835,SMU.337,319222,320037,inner membrane protein
SMu0304,24378836,SMU.338,320050,321018,conserved hypothetical protein, Jag protein
SMu0305,24378837,SMU.339,321128,321730,hypothetical protein
SMu0306,24378838,SMU.340,321953,322087,50S ribosomal protein L34
SMu0307,24378839,SMU.341,322265,323164,conserved hypothetical protein (possible deoxyribonuclease)
SMu0308,24378840,SMU.342,323332,323967,possible primase-related protein
SMu0309,24378841,SMU.343,324244,324765,conserved hypothetical protein
SMu0310,24378842,SMU.344,324866,325123,hypothetical protein
SMu0311,24378843,SMU.345c,325442,325128,conserved hypothetical protein (possible transcription regulator)
SMu0312,24378844,SMU.346,325540,326157,NADH dehydrogenase; NAD(P)H nitroreductase
SMu0313,24378845,SMU.348,326257,326703,histidine triad (HIT) hydrolase
SMu0314,24378846,SMU.349,326715,327590,dimethyladenosine transferase
SMu0315,24378847,SMU.350,327600,328004,hypothetical protein
SMu0316,24378848,SMU.351,328549,329421,conserved hypothetical protein, possible GTPase
SMu0317,24378849,SMU.352,329429,330088,ribulose-phosphate-3-epimerase
SMu0318,24378850,SMU.353,330081,330713,thiamine pyrophosphokinase
SMu0319,24378851,SMU.354,330720,331994,conserved hypothetical protein
SMu0320,24378852,SMU.355,331984,332952,CMP-binding factor 1
SMu0321,24378853,SMU.356,333020,333835,purine operon repressor/xanthine phosphoribosyltransferase
SMu0322,24378854,SMU.357,334095,334508,30S ribosomal protein S12
SMu0323,24378855,SMU.358,334526,334996,30S ribosomal protein S7
SMu0324,24378856,SMU.359,335165,337246,translation elongation factor G/EF-2
SMu0325,24378857,SMU.360,337541,338554,glyceraldehyde-3-phosphate dehydrogenase; plasmin receptor
SMu0326,24378858,SMU.361,338960,340156,phosphoglycerate kinase
SMu0327,24378859,SMU.362,340543,341061,Streptococcus-specific protein
SMu0328,24378860,SMU.363,341143,341514,transcriptional regulator; glutamine synthetase repressor
SMu0329,24378861,SMU.364,341554,342900,glutamine synthetase type 1
SMu0330,24378862,SMU.365,343060,347577,glutamate synthase, large subunit
SMu0331,24378863,SMU.366,347579,349015,glutamate synthase, small subunit
SMu0332,24378864,SMU.367,349163,349798,Streptococcus-specific protein; similar to glucan-binding protein
SMu0333,24378865,SMU.368c,351666,349984,metallo-beta-lactamase superfamily protein
SMu0334,24378866,SMU.369c,351898,351668,conserved hypothetical protein
SMu0335,24378867,SMU.370,352360,353205,ABC transporter, ATP-binding protein
SMu0336,24378868,SMU.371,353198,353911,Streptococcus-specific protein; possible ABC transporter, membrane spanning permease
SMu0337,24378869,SMU.372,353956,355119,hypothetical protein
SMu0338,24378870,SMU.373,355112,355855,hypothetical protein
SMu0339,24378871,SMU.374,355842,356552,oxidoreductase/ dehydrogenase
SMu0340,24378872,SMU.375,356563,357471,hypothetical protein
SMu0341,24378873,SMU.376,357487,358725,aminotransferase
SMu0342,24378874,SMU.378,358920,359159,hypothetical protein
SMu0343,24378875,SMU.379,359137,359274,hypothetical protein
SMu0344,24378876,SMU.381c,360683,359781,transcriptional regulator
SMu0345,24378877,SMU.382c,361912,361058,conserved hypothetical protein (possible oxidoreductase)
SMu0346,24378878,SMU.383c,363093,362047,undetermined reductase or epimerase
SMu0347,24378879,SMU.384,363267,363725,hypothetical protein (possible transcriptional regulator)
SMu0348,24378880,SMU.385,363736,364422,probable glycoprotein endopeptidase
SMu0349,24378881,SMU.386,364422,364856,ribosomal-protein-alanine transferase
SMu0350,24378882,SMU.387,364871,365881,O-sialoglycoprotein endopeptidase
SMu0351,24378883,SMU.388,365960,366658,possible branched-chain amino acid permease
SMu0352,24378884,SMU.389,366648,366971,conserved hypothetical protein
SMu0353,24378885,SMU.390,366854,367012,hypothetical protein
SMu0354,24378886,SMU.391c,367558,367067,conserved hypothetical protein
SMu0355,24378887,SMU.392c,368828,367656,conserved hypothetical protein, HI0933-like
SMu0356,24378888,SMU.393,368963,369478,conserved hypothetical protein
SMu0357,24378889,SMU.394c,369897,369598,conserved hypothetical protein
SMu0358,NULL,SMU.395c,372432,370156,X-prolyl dipeptidyl-peptidase
SMu0359,24378891,SMU.396,372547,373416,glycerol uptake facilitator protein
SMu0360,24378892,SMU.399,373588,374346,C3-degrading proteinase
SMu0361,24378893,SMU.400,374343,375293,beta-lactamase family protein
SMu0362,24378894,SMU.401c,375867,375427,acetyltransferase
SMu0363,NULL,SMU.402c,378356,376029,pyruvate formate-lyase
SMu0364,24378896,SMU.403,378579,379691,nucleotidyltransferase/DNA polymerase involved in DNA repair 
SMu0365,24378897,SMU.404c,380020,379697,hypothetical protein
SMu0366,24378898,SMU.405c,380440,380033,transcriptional regulator
SMu0367,24378899,SMU.406c,381367,380555,haloacid dehalogenase-like hydrolase
SMu0368,24378900,SMU.407,381676,382275,conserved hypothetical protein
SMu0369,24378901,SMU.408,382345,383775,xanthine/uracil permease family protein
SMu0370,24378902,SMU.409,383904,384347,conserved hypothetical protein
SMu0371,24378903,SMU.410,384678,385898,transcriptional regulator
SMu0372,24378904,SMU.411c,386361,386068,Streptococcus-specific protein
SMu0373,24378905,SMU.412c,386777,386358,Hit-like protein
SMu0374,24378906,SMU.413,386842,387567,ABC transporter, ATP-binding protein
SMu0375,24378907,SMU.414,387570,388604,ABC transporter permease
SMu0376,24378908,SMU.415,388663,389445,conserved hypothetical protein, phosphotransferase enzyme family
SMu0377,24378909,SMU.416,389455,390090,tRNA (guanine-N(7)-)-methyltransferase
SMu0378,24378910,SMU.417,390362,390853,conserved hypothetical protein
SMu0379,24378911,SMU.418,390889,392082,transcription termination-antitermination factor NusA; elongation factor
SMu0380,24378912,SMU.419,392100,392396,conserved hypothetical protein
SMu0381,24378913,SMU.420,392389,392691,ribosomal protein L7A family
