#gi	CAI	CAI_Alm	CBI	COG	COGanno	COGfun	Annotation
370347	1.32442983372781	3.31586013074908	1.14411638492995	507	ATP-dependent exoDNAse (exonuclease V), alpha subunit - helicase superfamily I member	L	exodeoxyribonuclease V, alpha subunit, putative
370348	1.2910927930736	3.3373699497659	1.11676676751773	-	-	-	conserved hypothetical protein
370349	1.30798743852938	3.23568996697066	1.07633503099836	1137	ABC-type (unclassified) transport system, ATPase component	R	ABC transporter, ATP-binding protein
370350	1.29963540935755	3.24162228270859	1.0865195173544	-	-	-	conserved hypothetical protein
370351	1.32837330405669	3.26907222149793	1.08093823928953	2877	3-deoxy-D-manno-octulosonic acid (KDO) 8-phosphate synthase	M	2-dehydro-3-deoxyphosphooctonate aldolase
370352	1.36142215661736	3.57887989638191	1.14302503603552	-	-	-	hypothetical protein
370353	1.38033243835688	3.71318498127251	1.19863651127423	-	-	-	conserved hypothetical protein
370354	1.35728444421504	3.54529345367189	1.1234228045541	-	-	-	conserved hypothetical protein
370355	1.45238069731311	3.77883186832068	1.10062839402539	1837	Predicted RNA-binding protein (contains KH domain)	R	conserved hypothetical protein
370356	1.26656522611057	3.12370914114227	1.07496357215453	188	Type IIA topoisomerase (DNA gyrase/topo II, topoisomerase IV), A subunit	L	DNA gyrase, subunit A
370357	1.22664649650154	2.99929129123886	1.00433427611662	187	Type IIA topoisomerase (DNA gyrase/topo II, topoisomerase IV), B subunit	L	DNA gyrase, subunit B
370358	1.32472629773816	3.38343115945402	1.11909947740483	373	Glutamyl-tRNA reductase	H	glutamyl-tRNA reductase, putative
370359	1.36278714575799	3.53635527913233	1.10493785086475	-	-	-	conserved hypothetical protein
370360	1.35008397973929	3.51691190827596	1.15721986481945	1716	FOG: FHA domain	T	conserved hypothetical protein
370361	1.34371445627616	3.28416373494538	1.09094663815393	-	-	-	conserved hypothetical protein
370362	1.36744723463732	3.23067072246323	1.10393153578539	-	-	-	conserved hypothetical protein
370363	1.3028857032786	3.14054556041682	1.05893043622385	-	-	-	conserved hypothetical protein
370364	1.36957567124259	3.40265896712396	1.10580238241427	-	-	-	conserved hypothetical protein
370365	1.39703891465027	3.76184921077895	1.15865139782244	1157	Flagellar biosynthesis/type III secretory pathway ATPase	NU	type III secretion cytoplasmic ATPase SctN
370366	1.33580424293082	3.21763454067927	1.00012911878617	-	-	-	conserved hypothetical protein
370367	1.33024852318693	3.41198881769254	1.09419899274714	-	-	-	conserved hypothetical protein
370368	1.30378757732981	3.47359169985944	1.12069401232312	1886	Flagellar motor switch/type III secretory pathway protein	NU	type III secretion translocase SctQ
370369	1.34849225110765	3.42465229673421	1.16390649460837	515	Serine/threonine protein kinase	RTKL	serine/threonine-protein kinase
370370	1.37583258659833	3.64462081503456	1.20465219852653	1450	Type II secretory pathway, component PulD	NU	type III secretion protein SctC
370371	1.23999580552385	3.13880624271347	1.0625625761409	3869	Arginine kinase	E	conserved hypothetical protein
370372	1.29859926778477	3.24379977811186	1.08898019975508	3880	Uncharacterized protein with conserved CXXC pairs	S	conserved hypothetical protein
370373	1.29271791800194	2.99261190506079	1.02914917420393	233	Ribosome recycling factor	J	ribosome recycling factor
370374	1.29164563430741	3.19619815885009	1.09246360301202	528	Uridylate kinase	F	uridylate kinase
370375	1.26850631243978	3.08851509100121	1.03180862246725	264	Translation elongation factor Ts	J	translation elongation factor Ts
370376	1.24324009064692	2.89702741135143	0.969889382625235	52	Ribosomal protein S2	J	ribosomal protein S2
370377	1.35695155330499	3.38621214312457	1.12050120358325	-	-	-	major outer membrane protein, porin
370378	1.29522490516823	2.73139263541105	1.01691030828712	-	-	-	hypothetical protein
370379	1.35501440242908	3.52289096744826	1.19355743890805	768	Cell division protein FtsI/penicillin-binding protein 2	M	penicillin-binding protein, putative
370380	1.34020736390707	3.24235622303033	1.04993086899777	5010	Flp pilus assembly protein TadD, contains TPR repeats	U	type III secretion chaperone, putative
370381	1.33295760811654	3.3790855526532	1.14318108423495	719	ABC-type transport system involved in Fe-S cluster assembly, permease component	O	conserved hypothetical protein
370382	1.31917635473838	3.30413881016272	1.09274890910455	396	ABC-type transport system involved in Fe-S cluster assembly, ATPase component	O	ABC transporter, ATP-binding protein
370383	1.32291879802511	3.4201527818795	1.1369720965724	719	ABC-type transport system involved in Fe-S cluster assembly, permease component	O	conserved hypothetical protein
370384	1.38890329200127	3.48414818853044	1.09358752783272	520	Selenocysteine lyase	E	aminotransferase, class V
370385	1.38902086607709	3.54434145553928	1.1604100158254	1475	Predicted transcriptional regulators	K	chromosome partioning protein, ParB family
370386	1.30842641975394	3.47056304506464	1.15841538981541	4608	ABC-type oligopeptide transport system, ATPase component	E	peptide ABC transporter, ATP-binding protein
370387	1.26497002137741	3.18132587720201	1.05664251207687	444	ABC-type dipeptide/oligopeptide/nickel transport system, ATPase component	EP	peptide ABC transporter, ATP-binding protein
370388	1.32752585575211	3.30717275637617	1.11957276351112	1392	Phosphate transport regulator (distant homolog of PhoU)	P	conserved hypothetical protein
370389	1.33334465471013	3.74563410110676	1.19957434313439	306	Phosphate/sulphate permeases	P	phosphate permease family protein
370390	1.38035117466834	3.66168035860384	1.20087655752282	126	3-phosphoglycerate kinase	G	phosphoglycerate kinase
370391	1.39537893293165	3.52976738937989	1.09245194715548	-	-	-	hypothetical protein
370392	1.37519380947394	3.63224965011063	1.19874431061994	-	-	-	conserved hypothetical protein
370393	1.33117976195939	3.28092947529463	1.07930427314827	-	-	-	conserved hypothetical protein
370394	1.27103335192281	3.29290232145796	1.10220859838286	177	Predicted EndoIII-related endonuclease	L	endonuclease III
370395	1.2414327777476	3.08681048668628	1.06903250764466	486	Predicted GTPase	R	thiophene and furan oxidation protein ThdF
370396	1.30165509038444	3.21843027226989	1.11243875997753	-	-	-	hypothetical protein
370397	1.30560304609649	3.4828939579506	1.15049339524972	688	Phosphatidylserine decarboxylase	I	phosphatidylserine decarboxylase proenzyme
370398	1.37904869889961	3.65843052906206	1.16739152418695	-	-	-	conserved hypothetical protein
370399	1.39613093347544	3.67219357569861	1.21503561238301	653	Preprotein translocase subunit SecA (ATPase, RNA helicase)	U	preprotein translocase SecA subunit
370400	1.31417375113727	3.43134709195192	1.07443875289635	-	-	-	conserved hypothetical protein
370401	1.24062598435175	3.09184070471238	1.04419724708355	1160	Predicted GTPases	R	GTP-binding protein, Era/ThdF family
370402	1.25110831977553	3.20683389119746	1.0398067959886	617	tRNA nucleotidyltransferase/poly(A) polymerase	J	poly(A) polymerase family protein
370403	1.28462992945126	3.13734666433349	1.07028825318233	1219	ATP-dependent protease Clp, ATPase subunit	O	ATP-dependent Clp protease, ATP-binding regulatory subunit ClpX
370404	1.29697696730352	3.20086430661641	1.05615469826072	740	Protease subunit of ATP-dependent Clp proteases	OU	ATP-dependent Clp protease, proteolytic subunit
370405	1.2502622310024	3.22780110479869	1.06876504635091	544	FKBP-type peptidyl-prolyl cis-trans isomerase (trigger factor)	O	trigger factor
370406	1.33393299127353	3.46414337832357	1.20378042568744	553	Superfamily II DNA/RNA helicases, SNF2 family	KL	helicase, Snf2 family
370407	1.39102745813401	3.7114807755762	1.17881023035199	1077	Actin-like ATPase involved in cell morphogenesis	D	cell shape-determining protein MreB
370408	1.39786221019877	3.68534188512856	1.23354552756205	1274	Phosphoenolpyruvate carboxykinase (GTP)	C	phosphoenolpyruvate carboxykinase
370409	1.35659896837451	3.63785335500982	1.22549919700289	-	-	-	conserved hypothetical protein
370410	1.34348882608959	3.44157368456499	1.1420123494908	-	-	-	conserved hypothetical protein
370411	1.33154218212646	3.40749980366524	1.14899100351349	-	-	-	major outer membrane protein, putative
370412	1.31255481915879	3.19290390534252	1.08476058244782	240	Glycerol-3-phosphate dehydrogenase	C	glycerol-3-phosphate dehydrogenase, NAD-dependent
370413	1.28062196008548	3.4687549748378	1.15914723952107	4284	UDP-glucose pyrophosphorylase	G	UDP-N-acetylglucosamine pyrophosphorylase, putative
370414	1.2482780518419	2.92230715687687	0.951860397746075	-	-	-	conserved hypothetical protein
370415	1.25382704469742	3.45582909402787	1.15486527605433	1157	Flagellar biosynthesis/type III secretory pathway ATPase	NU	virulence ATPase, putative
370416	1.26939184463613	3.33905021272145	1.04076459735465	-	-	-	conserved hypothetical protein
370417	1.27975218359531	3.30818304125853	1.04266732252395	1536	Flagellar motor switch protein	N	conserved hypothetical protein
370418	1.2549736128803	3.26595034730093	1.09169274155902	822	NifU homolog involved in Fe-S cluster formation	C	NifU-related protein
370419	1.2712902502116	3.33015129524698	1.12807271810732	1104	Cysteine sulfinate desulfinase/cysteine desulfurase and related enzymes	E	nifS protein, putative
370420	1.24386599894624	3.15125132304828	1.06195322408706	588	Phosphoglycerate mutase 1	G	phosphoglycerate mutase
370421	1.2494084881426	3.12622202379224	1.06753463333032	-	-	-	conserved hypothetical protein
370422	1.34362462901594	3.50064461061944	1.13227476126929	340	Biotin-(acetyl-CoA carboxylase) ligase	H	BirA-related protein
370423	1.32214653485353	3.47642276112242	1.13735539673442	772	Bacterial cell division membrane protein	D	cell shape-determining protein MrdB, putative
370424	1.29874408270947	3.36398979926436	1.14981850738004	2217	Cation transport ATPase	P	cation-transporting ATPase, E1-E2 family
370425	1.26285170832875	3.24714473364561	1.09690962124533	-	-	-	conserved hypothetical protein
370426	1.23876778714551	3.32759846209309	1.12388139254464	172	Seryl-tRNA synthetase	J	seryl-tRNA synthetase
370427	1.39533380410936	3.52457461723524	1.12349804880548	1985	Pyrimidine reductase, riboflavin biosynthesis	H	riboflavin-specific deaminase
370428	1.36108743145984	3.63030324207119	1.18221925821053	807	GTP cyclohydrolase II	H	3,4-dihydroxy-2-butanone-4-phosphate synthase/GTP cyclohydrolase II
370429	1.39906314771726	3.77037206279788	1.18100055809833	54	Riboflavin synthase beta-chain	H	riboflavin synthase, beta subunit
370430	1.25919464677632	3.29467274141621	1.10228993180954	-	-	-	conserved hypothetical protein
370431	1.34811749502304	3.85660678415086	1.23862323370074	-	-	-	conserved hypothetical protein
370432	1.33568345568858	3.5483365548069	1.14094009161139	1115	Na+/alanine symporter	E	sodium/alanine symporter family protein
370433	1.36233675013945	3.68538907573417	1.12204742293555	1881	Phospholipid-binding protein	R	conserved hypothetical protein
370434	1.25174444347168	3.32394006078426	1.12785775430329	2940	Proteins containing SET domain	R	conserved hypothetical protein
370435	1.29090734059788	3.21402112214855	1.0968657804222	1235	Metal-dependent hydrolases of the beta-lactamase superfamily I	R	conserved hypothetical protein
370436	1.30802750661404	3.34604753731443	1.13233954911097	1674	DNA segregation ATPase FtsK/SpoIIIE and related proteins	D	cell division protein FtsK, putative
370437	1.3552069685383	3.56463060440413	1.19711391336498	-	-	-	hypothetical protein
370438	1.40787508554812	3.77719936253447	1.17891043748955	-	-	-	hypothetical protein
370439	1.23682395637793	2.99928821548277	1.01575470961517	-	-	-	hypothetical protein
370440	1.25416595472144	3.27986941217937	1.11652698771702	2871	Na+-transporting NADH:ubiquinone oxidoreductase, subunit NqrF	C	NADH:ubiquinone oxidoreductase, beta subunit, putative
370441	1.24349579550917	3.02490990283217	1.0294643534059	1862	Preprotein translocase subunit YajC	U	conserved hypothetical protein
370442	1.24163792725548	2.98086886094947	0.885722813165933	-	-	-	histone H1-like protein HC1
370443	1.29212039493676	3.32341834621251	1.13250146072343	-	-	-	conserved hypothetical protein
370444	1.26261997001556	3.31707081425552	1.11106253337243	1232	Protoporphyrinogen oxidase	H	protoporphyrinogen oxidase
370445	1.24560090968784	3.2764649607042	1.08749398797233	635	Coproporphyrinogen III oxidase and related Fe-S oxidoreductases	H	oxygen-independent coproporphyrinogen III oxidase
370446	1.24222424442172	3.26562178057279	1.10220547747556	407	Uroporphyrinogen-III decarboxylase	H	uroporphyrinogen decarboxylase
370447	1.26650465946739	3.19318796976561	1.12307018815514	1197	Transcription-repair coupling factor (superfamily II helicase)	LK	transcription-repair coupling factor
370448	1.28810936084624	3.20140454732245	1.11256815380327	13	Alanyl-tRNA synthetase	J	alanyl-tRNA synthetase
370449	1.24387397296495	3.20933650151564	1.06078578160621	-	-	-	hypothetical protein
370450	1.35837805764928	3.46729690723069	1.17991878116234	21	Transketolase	G	transketolase
370451	1.27873129213561	3.32886566337681	1.13069584463101	775	Nucleoside phosphorylase	F	AMP nucleosidase-related protein
370452	1.35221847734141	3.56747110706254	1.10828690516957	231	Translation elongation factor P (EF-P)/translation initiation factor 5A (eIF-5A)	J	translation elongation factor P
370453	1.27149378505146	3.14653132082412	1.03104109623019	-	-	-	conserved hypothetical protein
370454	1.29969466570334	3.46088423200889	1.16910585019293	1409	Predicted phosphohydrolases	R	icc-related protein
370455	1.27127094291156	3.31429362681781	1.1108117887381	459	Chaperonin GroEL (HSP60 family)	O	60 kDa chaperonin, putative
370456	1.32477330680351	3.54294126135732	1.19363774797316	770	UDP-N-acetylmuramyl pentapeptide synthase	M	UDP-N-acetylmuramoylalanyl-D-glutamyl-2,6-diaminopimelate--D-alanyl-D-alanyl ligase MurF, putative
370457	1.29152035734089	3.33508671761164	1.12593155586337	472	UDP-N-acetylmuramyl pentapeptide phosphotransferase/UDP-N-acetylglucosamine-1-phosphate transferase	M	phospho-N-acetylmuramoyl-pentapeptide-transferase
370458	1.35205890446747	3.48808214047905	1.17395145940754	771	UDP-N-acetylmuramoylalanine-D-glutamate ligase	M	UDP-N-acetylmuramoylalanine--D-glutamate ligase
370459	1.35114258027182	3.48076791128513	1.09729838643673	1388	FOG: LysM repeat	M	conserved hypothetical protein
370460	1.32399848718179	3.53309952305352	1.14683931458237	772	Bacterial cell division membrane protein	D	cell division protein, FtsW/RodA/SpovE family
370461	1.31848259042369	3.25610712935264	1.09311663918916	707	UDP-N-acetylglucosamine:LPS N-acetylglucosamine transferase	M	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase MurG, putative
370462	1.34095204267531	3.44820132010916	1.16258654859985	773	UDP-N-acetylmuramate-alanine ligase	M	UDP-N-acetylmuramate--alanine ligase/D-alanine--D-alanine ligase
370463	1.29503406358816	3.21596982171069	1.06300676395602	1837	Predicted RNA-binding protein (contains KH domain)	R	conserved hypothetical protein
370464	1.24323974794267	3.24521508126229	1.07378468350456	-	-	-	conserved hypothetical protein
370465	1.32191682838344	3.27167528498049	1.02377956377897	1366	Anti-anti-sigma regulatory factor (antagonist of anti-sigma factor)	T	anti-anti-sigma factor
370466	1.3759213433787	3.64285404629251	1.18345113052945	324	tRNA delta(2)-isopentenylpyrophosphate transferase	J	tRNA delta-2-isopentenylpyrophosphate transferase
370467	1.31346454047162	3.44142234810317	1.1527044613419	1060	Thiamine biosynthesis enzyme ThiH and related uncharacterized enzymes	HR	conserved hypothetical protein
370468	1.33338401954884	3.33648280903418	1.1084798797985	-	-	-	conserved hypothetical protein
370469	1.32777074378179	3.68583481637141	1.08343046222046	799	Uncharacterized homolog of plant Iojap protein	S	conserved hypothetical protein
370470	1.3670289041453	3.72626711669728	1.20322769064412	304	3-oxoacyl-(acyl-carrier-protein) synthase	IQ	3-oxoacyl-(acyl-carrier-protein) synthase II
370471	1.30974416888306	3.38466047049689	1.07836654472358	494	NTP pyrophosphohydrolases including oxidative damage repair enzymes	LR	mutT/Nudix family protein
370472	1.26144198338792	3.21885109311317	1.04450948308532	221	Inorganic pyrophosphatase	C	inorganic pyrophosphatase, putative
370473	1.36813571191268	3.596336108476	1.17989333789194	334	Glutamate dehydrogenase/leucine dehydrogenase	E	Glu/Leu/Phe/Val dehydrogenase family protein
370474	1.25912939530822	3.31895614619662	1.12532132217805	1218	3'-Phosphoadenosine 5'-phosphosulfate (PAPS) 3'-phosphatase	P	3`(2`),5`-bisphosphate nucleotidase, putative
370475	1.35704662398196	3.57755278926395	1.18157956267629	204	1-acyl-sn-glycerol-3-phosphate acyltransferase	I	conserved hypothetical protein
370476	1.35834659150245	3.53067957441803	1.18599630239547	318	Acyl-CoA synthetases (AMP-forming)/AMP-acid ligases II	IQ	Aas bifunctional protein, putative
370477	1.32265245782511	3.49318436602264	1.16470566662325	156	7-keto-8-aminopelargonate synthetase and related enzymes	H	8-amino-7-oxononanoate synthase, putative
370478	1.2682868706029	3.17421199839854	1.09805622498525	1198	Primosomal protein N' (replication factor Y) - superfamily II helicase	L	primosomal protein N`
370479	1.29932215010477	3.41495726677246	1.10239093985954	-	-	-	conserved hypothetical protein
370480	1.31983680991016	3.36005438772615	1.07876750980136	2143	Thioredoxin-related protein	O	conserved hypothetical protein
370481	1.1963647405163	3.26564937487908	1.10129642586767	-	-	-	hypothetical protein
370482	1.29273001810294	3.35175896187391	1.13466353304101	1190	Lysyl-tRNA synthetase (class II)	J	lysyl-tRNA synthetase
370483	1.25741831691842	3.25604396462677	1.12503823110396	215	Cysteinyl-tRNA synthetase	J	cysteinyl-tRNA synthetase
370484	1.19896449962496	3.04987326793601	1.05624954160909	-	-	-	hypothetical protein
370485	1.31488296546545	3.49099363524539	1.15356449919339	-	-	-	conserved hypothetical protein
370486	1.3749472008948	3.69970747730835	1.16588839473778	594	RNase P protein component	J	ribonuclease P protein component
370487	1.34785686476883	3.4313953994601	1.1187319624454	-	-	-	ribosomal protein L34
370488	1.43677714372664	3.77619448813727	1.13769883497879	-	-	-	ribosomal protein L36, putative
370489	1.33230123823384	3.43601273114132	1.13077626142068	199	Ribosomal protein S14	J	ribosomal protein S14
370490	1.25502353026272	3.15275133133041	0.993579216311029	-	-	-	conserved hypothetical protein
370491	1.31843351948651	3.22210514661972	1.01217744441014	1302	Uncharacterized protein conserved in bacteria	S	conserved hypothetical protein
370492	1.28161991281378	3.31047181618773	1.14541819649445	322	Nuclease subunit of the excinuclease complex	L	excinuclease ABC, subunit C
370493	1.26663097910251	3.22605786221243	1.10176360827128	249	Mismatch repair ATPase (MutS family)	L	DNA mismatch repair protein MutS
370494	1.31399185736496	3.43405895635091	1.16439112940715	358	DNA primase (bacterial type)	L	DNA primase
370495	1.42608881440834	3.6452244498885	1.10760102185099	-	-	-	conserved hypothetical protein
370496	1.39625693795954	3.86223843377582	1.16616008842791	-	-	-	conserved hypothetical protein
370497	1.26743790461046	3.26624007340575	1.14563228699664	751	Glycyl-tRNA synthetase, beta subunit	J	glycyl-tRNA synthetase, tetrameric type, alpha/beta subunits
370498	1.2171289098139	3.20715800741715	1.15780320114637	-	-	-	hypothetical protein
370499	1.35703487978591	3.55204386911173	1.11528168359147	558	Phosphatidylglycerophosphate synthase	I	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
370500	1.29530589561569	3.36261456772852	1.11684571429575	297	Glycogen synthase	G	glycogen synthase
370501	1.34806336401036	3.72177912540473	1.17531777255341	1825	Ribosomal protein L25 (general stress protein Ctc)	J	general stress protein Ctc
370502	1.34041182887272	3.6171721846455	1.19521330972248	193	Peptidyl-tRNA hydrolase	J	peptidyl-tRNA hydrolase
370503	1.2941263054222	3.16873329575521	1.02799897331086	360	Ribosomal protein S6	J	ribosomal protein S6
370504	1.32282414729208	3.6028080091523	1.21025457989445	238	Ribosomal protein S18	J	ribosomal protein S18
370505	1.34110587294754	3.45024671892805	1.04043894692797	359	Ribosomal protein L9	J	ribosomal protein L9
370506	1.30939449585232	3.44359054706718	1.16763001463563	1947	4-diphosphocytidyl-2C-methyl-D-erythritol 2-phosphate synthase	I	kinase, GHMP family
370507	1.26561793379767	3.20147008721423	1.06757335168654	-	-	-	hypothetical protein
370508	1.26159327871226	3.2058704292325	1.09292949550539	-	-	-	conserved hypothetical protein
370509	1.24396785943319	3.25795266193559	1.10865337093111	1025	Secreted/periplasmic Zn-dependent peptidases, insulinase-like	O	metalloprotease, insulinase family
370510	1.33246467534927	3.56242448308429	1.14865980769185	-	-	-	hypothetical protein
370511	1.25490664896312	3.32827726410351	1.13658947614528	-	-	-	glycerol-3-phosphate acyltransferase, putative
370512	1.28704169070682	3.0939135148081	1.06580852864898	1530	Ribonucleases G and E	J	ribonuclease G
370513	1.36749607507935	3.40504047897817	1.07506082616835	-	-	-	conserved hypothetical protein
370514	1.33360969038148	3.39546110302623	1.10360375546869	333	Ribosomal protein L32	J	ribosomal protein L32
370515	1.38313576523776	3.84162945875424	1.24034614017445	416	Fatty acid/phospholipid biosynthesis enzyme	I	fatty acid/phospholipid synthesis protein
370516	1.32763118847658	3.5533392488698	1.18850596543018	-	-	-	polymorphic membrane protein D family
370517	1.11688214684866	2.69768272339125	0.955946818645802	-	-	-	hypothetical protein
370518	1.3390606655541	3.51796910076658	1.13700032996552	-	-	-	hypothetical protein
370519	1.32280269123893	3.17235946404562	1.08584662405834	-	-	-	conserved hypothetical protein
370520	1.20142598060005	2.88870690036718	0.942462158485274	-	-	-	conserved hypothetical protein
370521	1.3552880239071	3.56717395311229	1.17691021683177	1109	Phosphomannomutase	G	phosphoglucomutase/phosphomannomutase family protein
370522	1.37574407838594	3.55437423852181	1.1927073463153	449	Glucosamine 6-phosphate synthetase, contains amidotransferase and phosphosugar isomerase domains	M	glucosamine--fructose-6-phosphate aminotransferase (isomerizing)
370523	1.26595680738019	3.27144450202568	1.08923304468346	814	Amino acid permeases	E	Mtr/TnaB/TyrO permease family protein
370524	1.28491647492497	3.2510722067582	1.04635867306217	814	Amino acid permeases	E	Mtr/TnaB/TyrO permease family protein
370525	1.32606323866935	3.5732159686972	1.14125039670972	670	Integral membrane protein, interacts with FtsH	R	conserved hypothetical protein
370526	1.31234295374295	3.394541656305	1.1315872205676	552	Signal recognition particle GTPase	U	signal recognition particle protein FtsY
370527	1.32150452513075	3.54819469634812	1.18116592719264	45	Succinyl-CoA synthetase, beta subunit	C	succinyl-CoA synthetase, beta subunit
370528	1.40768484246215	3.90109983323192	1.20240829243069	74	Succinyl-CoA synthetase, alpha subunit	C	succinyl-CoA synthetase, alpha chain
370529	1.32483636663347	3.47601727502265	1.16575346645805	265	Trypsin-like serine proteases, typically periplasmic, contain C-terminal PDZ domain	O	serine protease, HtrA/DegQ/DegS family
370530	1.3616725191304	3.5081915879625	1.18513272970101	1026	Predicted Zn-dependent peptidases, insulinase-like	R	metalloprotease, insulinase family
370531	1.2829457593055	3.26197489125417	1.10818571340946	1322	Uncharacterized protein conserved in bacteria	S	conserved hypothetical protein
370532	1.30202691606631	3.41360818449281	1.1075109787713	1183	Phosphatidylserine synthase	I	CDP-diacylglycerol--serine O-phosphatidyltransferase, putative
370533	1.36082948122698	3.56790278682556	1.22750605800559	209	Ribonucleotide reductase, alpha subunit	F	ribonucleoside-diphosphate reductase, alpha subunit
370534	1.28244798062034	3.42400067604007	1.13661245628635	208	Ribonucleotide reductase, beta subunit	F	ribonucleoside-diphosphate reductase, beta subunit
370535	1.31539735007944	3.42078772885533	1.1288981816775	220	Predicted S-adenosylmethionine-dependent methyltransferase	R	conserved hypothetical protein
370536	1.36786323963891	3.60217170089308	1.14557517289262	-	-	-	conserved hypothetical protein
370537	1.2703208783341	3.14103358022752	1.03640159855038	812	UDP-N-acetylmuramate dehydrogenase	M	UDP-N-acetylenolpyruvoylglucosamine reductase
370538	1.28017931768708	3.15067065703492	1.07206562063214	781	Transcription termination factor	K	N utilization substance protein B, putative
370539	1.17748156133182	3.14139030109418	1.11526290689252	-	-	-	hypothetical protein
370540	1.34485365712585	3.67668541866093	1.16615046791827	290	Translation initiation factor 3 (IF-3)	J	translation initiation factor 3
370541	1.31625474400226	3.35185342337067	1.11236302584383	291	Ribosomal protein L35	J	ribosomal protein L35
370542	1.31687873779326	3.63176438861866	1.18266228590053	292	Ribosomal protein L20	J	ribosomal protein L20
370543	1.38369428782885	3.83187232845098	1.21447121257128	16	Phenylalanyl-tRNA synthetase alpha subunit	J	phenylalanyl-tRNA synthetase, alpha subunit
370544	1.29660155485823	3.29682054232993	1.14109124748035	-	-	-	conserved hypothetical protein
370545	1.25114262713189	3.29251218814359	1.10128360419951	795	Predicted permeases	R	conserved hypothetical protein
370546	1.21143438036822	3.10134462636507	1.06154370197975	795	Predicted permeases	R	conserved hypothetical protein
370547	1.31920992741073	3.24921290112112	1.0971237053248	37	Predicted ATPase of the PP-loop superfamily implicated in cell cycle control	D	MesJ/Ycf62 family protein
370548	1.34701068813909	3.58503091297921	1.21181748422083	465	ATP-dependent Zn proteases	O	cell division protein FtsH, putative
370549	1.30993292297582	3.29560494401481	1.13564071492519	1185	Polyribonucleotide nucleotidyltransferase (polynucleotide phosphorylase)	J	polyribonucleotide nucleotidyltransferase
370550	1.26950244039106	2.99809386127182	1.01571883991516	184	Ribosomal protein S15P/S13E	J	ribosomal protein S15
370551	1.39802600058215	3.43080743022766	1.12863079802277	590	Cytosine/adenosine deaminases	FJ	cytidine/deoxycytidylate deaminase family protein
370552	1.35670848097605	3.49872510880848	1.08518295343632	-	-	-	conserved hypothetical protein
370553	1.29630171915943	3.44525727931727	1.12913327452999	-	-	-	conserved hypothetical protein
370554	1.31289106319636	3.16203536827009	1.01118339579169	-	-	-	conserved hypothetical protein
370555	1.32052954864213	3.46778406498623	1.02214964817565	-	-	-	conserved hypothetical protein
370556	1.31905457731343	3.2099127366929	1.03662947393125	-	-	-	conserved hypothetical protein
370557	1.36888078332997	3.49258970627783	1.12108742601796	-	-	-	conserved hypothetical protein
370558	1.33471902779146	3.23935878963875	1.06047956265968	-	-	-	conserved hypothetical protein
